date,min_windspd,max_windspd,mean_windspd,precip
20130907,0,32,8,0.25
20130908,0,24,9,2.79
20130909,0,27,5,4.57
20130910,0,14,5,2.29
20130911,0,29,4,2.79
20130912,0,35,5,8.89
20130913,0,26,8,13.72
20130914,0,37,7,2.54
20130915,0,23,7,2.79
20130916,0,37,8,T
20130917,0,37,7,T
20130918,0,50,12,3.81
20130919,0,26,8,T
20130920,0,23,9,0
20130921,0,29,7,0
20130922,0,32,13,10.67
20130923,0,26,11,9.65
20130924,0,23,9,0
20130925,0,52,16,0
20130926,0,42,18,0
20130927,0,32,9,3.05
20130928,0,16,7,0
20130929,0,24,8,0
20130930,0,24,10,0
20131001,0,27,11,0
20131002,0,21,8,0
20131003,0,42,14,1.52
20131004,0,29,10,2.79
20131005,0,21,7,0.25
20131006,0,19,8,0
20131007,0,16,9,0
20131008,0,27,10,0
20131009,0,23,9,0
20131010,0,47,8,3.81
20131011,0,21,5,1.78
20131012,0,21,7,0
20131013,0,42,17,T
20131014,0,32,7,0
20131015,0,19,5,0
20131016,0,23,9,T
20131017,0,23,9,T
20131018,0,27,10,1.02
20131019,0,24,8,0
20131020,0,26,9,T
20131021,0,26,9,0.51
20131022,0,21,10,0
20131023,0,19,9,0
20131024,0,21,8,0
20131025,0,21,8,0
20131026,0,21,8,0
20131027,0,24,9,0
20131028,0,66,19,0
20131029,0,40,15,8.89
20131030,0,24,6,0.25
20131031,0,21,4,0.51
20131101,0,23,7,1.02
20131102,0,16,7,0
20131103,0,37,12,3.3
20131104,0,21,5,T
20131105,0,21,10,1.78
20131106,0,19,8,0
20131107,0,16,6,0
20131108,0,29,9,0
20131109,0,16,8,0
20131110,0,21,10,0
20131111,0,19,9,0
20131112,0,19,9,0
20131113,0,21,7,0
20131114,0,16,6,0
20131115,0,35,10,6.1
20131116,0,35,8,5.84
20131117,0,37,13,T
20131118,0,19,10,0
20131119,0,23,4,0.25
20131120,0,16,4,1.27
20131121,0,16,5,4.83
20131122,0,14,7,T
20131123,0,14,6,T
20131124,0,16,5,3.81
20131125,0,14,4,0
20131126,0,21,7,0
20131127,0,14,8,0
20131128,0,14,8,0
20131129,0,16,7,0
20131130,0,14,7,0
20131201,0,16,6,0
20131202,0,21,4,0
20131203,0,35,11,3.81
20131204,0,34,10,9.65
20131205,0,13,7,0
20131206,0,16,6,0
20131207,0,24,5,1.02
20131208,0,29,8,2.54
20131209,0,16,7,T
20131210,0,14,7,0
20131211,0,16,8,0
20131212,0,14,7,0
20131213,0,16,5,0
20131214,0,19,4,T
20131215,0,16,6,0
20131216,0,19,9,0
20131217,0,16,7,0
20131218,0,14,8,0
20131219,0,32,9,0
20131220,0,16,5,3.81
20131221,0,16,8,0.25
20131222,0,19,5,0.25
20131223,0,16,4,T
20131224,0,47,9,0.25
20131225,0,16,9,0
20131226,0,21,9,0
20131227,0,14,6,0
20131228,0,16,6,0
20131229,0,16,6,0.25
20131230,0,19,8,0
20131231,0,16,6,0.51
20140101,0,32,11,1.02
20140102,0,16,9,0
20140103,0,14,6,0
20140104,0,37,11,1.02
20140105,0,39,11,T
20140106,0,19,9,0
20140107,0,21,6,T
20140108,0,23,4,0.76
20140109,0,39,7,1.02
20140110,0,37,8,1.27
20140111,0,19,7,0.25
20140112,0,56,12,0.76
20140113,0,16,6,0.25
20140114,0,32,11,0
20140115,0,16,9,0
20140116,0,19,9,0
20140117,0,21,10,0
20140118,0,19,10,0
20140119,0,19,9,0
20140120,0,19,10,0
20140121,0,19,8,0
20140122,0,19,10,0
20140123,0,19,10,0
20140124,0,19,9,0
20140125,0,16,7,0
20140126,0,24,10,0
20140127,0,35,13,0
20140128,0,34,11,0
20140129,0,19,6,0
20140130,0,29,5,13.72
20140131,0,13,5,3.3
20140201,0,16,7,T
20140202,0,19,9,0
20140203,0,16,6,T
20140204,0,29,6,0
20140205,0,14,8,T
20140206,0,14,5,T
20140207,0,21,7,0.51
20140208,0,29,10,T
20140209,0,26,7,1.27
20140210,0,23,6,1.02
20140211,0,19,9,0
20140212,0,19,7,T
20140213,0,40,11,T
20140214,0,26,9,T
20140215,0,32,9,0
20140216,0,40,16,T
20140217,0,24,8,0
20140218,0,21,10,0
20140219,0,39,12,2.29
20140220,6,35,15,T
20140221,0,24,7,0
20140222,0,29,10,T
20140223,0,24,9,0
20140224,0,26,11,0
20140225,0,29,12,0
20140226,0,24,8,0
20140227,0,21,7,0.51
20140228,0,32,7,T
20140301,0,37,10,11.94
20140302,0,24,8,0.25
20140303,0,19,9,0
20140304,0,26,10,1.52
20140305,0,19,7,0
20140306,0,21,8,0
20140307,0,23,7,3.05
20140308,0,19,7,T
20140309,0,19,9,0
20140310,0,26,8,0
20140311,0,40,13,1.52
20140312,0,19,10,0
20140313,0,21,11,0
20140314,8,19,11,0
20140315,0,39,11,T
20140316,0,23,9,0
20140317,0,45,14,0
20140318,0,24,9,T
20140319,0,24,10,0
20140320,0,24,11,0
20140321,0,21,11,0
20140322,0,35,10,0.51
20140323,0,32,9,0
20140324,0,40,13,0
20140325,0,24,11,0
20140326,0,39,13,1.52
20140327,0,32,9,2.54
20140328,0,26,9,0.25
20140329,0,23,8,0
20140330,0,47,15,T
20140331,0,34,12,T
20140401,0,23,10,T
20140402,0,29,9,0
20140403,0,35,12,0
20140404,0,26,11,0
20140405,0,26,9,T
20140406,0,37,10,T
20140407,0,34,12,0.25
20140408,0,24,9,0
20140409,0,29,11,0
20140410,6,40,14,0
20140411,0,29,12,0
20140412,0,42,14,T
20140413,0,39,10,2.54
20140414,0,24,11,T
20140415,0,27,9,0
20140416,0,26,11,0
20140417,0,24,9,0
20140418,0,39,11,0
20140419,0,32,9,T
20140420,0,37,10,1.02
20140421,0,24,8,0
20140422,0,48,16,T
20140423,0,37,15,T
20140424,0,35,11,0
20140425,0,35,12,0
20140426,0,52,17,1.78
20140427,0,42,16,0.76
20140428,6,58,14,0.25
20140429,0,40,13,T
20140430,0,26,9,T
20140501,0,37,12,0
20140502,0,32,12,0
20140503,6,32,14,0
20140504,0,37,12,0
20140505,0,39,13,0
20140506,6,35,11,0
20140507,0,48,14,0
20140508,0,32,7,1.78
20140509,0,34,11,2.03
20140510,0,34,8,T
20140511,0,27,9,11.68
20140512,0,24,9,T
20140513,0,24,9,T
20140514,8,40,13,0
20140515,0,34,11,0
20140516,0,35,13,0.76
20140517,0,37,13,0
20140518,8,35,15,0
20140519,6,35,14,0
20140520,6,35,16,0
20140521,0,48,16,T
20140522,0,63,11,T
20140523,0,50,9,0.51
20140524,0,37,9,3.05
20140525,0,39,7,1.27
20140526,0,27,10,0
20140527,0,34,12,0
20140528,0,32,12,0
20140529,0,35,16,T
20140530,0,19,7,T
20140531,0,52,12,T
20140601,6,42,15,T
20140602,0,26,10,0
20140603,6,35,14,0
20140604,0,27,13,0
20140605,0,26,10,0
20140606,0,45,11,0
20140607,0,39,10,T
20140608,0,52,12,1.02
20140609,0,21,9,0
20140610,0,37,12,T
20140611,0,47,14,T
20140612,0,50,13,T
20140613,6,37,14,0
20140614,0,37,14,T
20140615,0,34,10,0
20140616,0,45,13,0
20140617,0,47,15,T
20140618,0,47,11,T
20140619,0,34,13,0
20140620,0,26,11,0
20140621,0,29,9,0
20140622,6,52,11,T
20140623,0,32,11,T
20140624,0,50,12,T
20140625,0,32,9,0
20140626,0,35,12,0
20140627,0,39,11,T
20140628,0,27,10,T
20140629,0,27,12,0
20140630,0,34,14,0
20140701,0,29,12,0
20140702,0,27,11,0
20140703,0,27,11,0
20140704,0,29,12,T
20140705,0,32,10,0.25
20140706,0,26,11,0
20140707,0,26,9,0
20140708,0,34,14,0
20140709,0,26,10,0
20140710,0,37,9,14.48
20140711,0,29,10,2.54
20140712,0,24,13,T
20140713,0,27,10,T
20140714,0,27,9,T
20140715,0,32,10,T
20140716,0,34,9,T
20140717,0,26,12,0
20140718,0,24,13,T
20140719,0,29,11,0
20140720,6,47,12,1.27
20140721,0,23,6,0
20140722,0,23,9,0
20140723,0,45,14,2.03
20140724,0,26,9,1.52
20140725,0,37,10,T
20140726,0,32,10,T
20140727,0,42,13,0
20140728,0,40,11,14.73
20140729,0,21,5,7.11
20140730,0,26,5,4.06
20140731,0,24,8,0.25
20140801,0,27,9,4.57
20140802,0,19,9,0
20140803,0,58,13,2.54
20140804,0,27,9,3.81
20140805,0,19,8,1.02
20140806,0,26,9,0.76
20140807,0,32,10,0.51
20140808,0,29,11,0
20140809,0,32,10,0.76
20140810,0,23,8,0.76
20140811,0,19,10,T
20140812,0,45,11,0
20140813,0,29,6,T
20140814,0,19,6,3.05
20140815,0,27,10,T
20140816,0,24,10,0
20140817,0,40,11,T
20140818,0,24,12,0
20140819,0,32,8,3.56
20140820,0,37,8,2.54
20140821,0,35,11,0
20140822,0,35,9,1.27
20140823,0,21,7,8.64
20140824,0,19,7,0
20140825,0,45,10,T
20140826,0,29,8,2.54
20140827,0,34,6,6.1
20140828,0,14,7,1.52
20140829,0,24,10,0
20140830,0,39,10,0.25
20140831,0,35,12,0.76
20140901,0,32,14,0
20140902,0,37,12,0
20140903,0,34,11,0
20140904,0,35,14,1.02
20140905,0,26,9,T
20140906,0,24,11,0
20140907,0,40,8,0.25
20140908,0,26,6,0.76
20140909,0,32,8,10.16
20140910,0,24,9,2.29
20140911,0,32,9,0
20140912,0,27,11,0
20140913,0,27,13,0
20140914,0,29,11,0
20140915,0,21,11,0
20140916,0,27,11,0
20140917,0,23,10,0
20140918,0,21,10,0
20140919,0,27,10,0
20140920,0,39,13,0.25
20140921,0,27,9,0.25
20140922,0,34,6,0.25
20140923,6,26,12,0
20140924,0,21,10,0
20140925,0,24,10,0
20140926,0,29,11,T
20140927,0,45,9,1.52
20140928,0,29,6,3.56
20140929,0,23,5,13.72
20140930,0,14,6,0.51
20141001,0,29,6,10.67
20141002,0,19,7,0.76
20141003,0,27,11,0
20141004,0,29,10,0
20141005,6,27,11,0
20141006,0,34,13,0
20141007,0,23,10,0
20141008,0,19,7,0
20141009,0,13,6,3.05
20141010,0,21,5,2.54
20141011,0,32,9,T
20141012,0,45,11,6.35
20141013,0,26,8,T
20141014,0,19,8,0
20141015,0,23,9,0
20141016,6,27,11,0
20141017,0,21,10,0
20141018,0,21,9,0
20141019,0,32,8,0
20141020,0,26,8,0
20141021,0,29,9,5.59
20141022,0,29,7,6.6
20141023,0,19,9,0
20141024,0,24,10,0
20141025,0,23,9,0
20141026,0,35,11,T
20141027,0,24,10,0.76
20141028,0,19,7,0
20141029,0,24,10,0
20141030,0,21,9,0
20141031,0,21,9,0
20141101,6,37,18,0
20141102,6,37,11,6.35
20141103,0,16,5,4.32
20141104,0,23,8,0
20141105,0,16,9,0
20141106,0,16,9,0
20141107,0,23,9,0
20141108,0,19,8,0
20141109,0,21,9,0
20141110,0,47,10,1.78
20141111,0,21,8,T
20141112,0,19,8,3.05
20141113,0,13,6,4.06
20141114,0,16,3,1.02
20141115,0,27,9,2.79
20141116,0,19,7,0.25
20141117,0,19,9,0
20141118,0,19,8,0
20141119,0,16,9,0
20141120,0,14,6,0
20141121,0,19,9,0
20141122,0,27,8,0.76
20141123,0,35,12,2.29
20141124,0,27,6,1.52
20141125,0,14,4,2.29
20141126,0,16,6,T
20141127,0,16,8,0
20141128,0,21,10,0
20141129,0,26,10,0
20141130,0,27,9,0
20141201,0,19,8,T
20141202,0,16,9,0
20141203,0,19,7,0
20141204,0,19,4,0.76
20141205,0,16,6,0.25
20141206,0,13,7,0
20141207,0,16,8,0
20141208,0,16,8,0
20141209,0,16,9,0
20141210,0,16,9,0
20141211,0,16,10,0
20141212,0,16,8,0
20141213,0,26,7,10.16
20141214,0,21,8,3.3
20141215,0,21,7,1.02
20141216,0,14,5,T
20141217,0,14,4,1.27
20141218,0,14,5,1.02
20141219,0,13,4,0.25
20141220,0,14,6,0.51
20141221,0,23,7,15.24
20141222,0,37,16,1.27
20141223,0,32,9,T
20141224,0,16,7,0
20141225,0,16,5,1.78
20141226,0,19,8,2.79
20141227,0,19,9,T
20141228,0,13,5,1.27
20141229,0,16,4,5.08
20141230,0,13,6,0.25
20141231,0,14,5,0
20150101,0,14,7,0.76
20150102,0,14,7,0
20150103,0,16,7,T
20150104,0,19,5,0
20150105,0,16,7,0
20150106,0,16,6,0
20150107,0,16,9,0
20150108,0,19,9,0
20150109,0,16,7,0
20150110,0,16,8,0
20150111,0,13,4,1.78
20150112,0,21,6,0
20150113,0,16,6,0.25
20150114,0,16,9,0
20150115,0,16,9,0
20150116,0,19,6,0
20150117,0,19,8,T
20150118,0,16,9,0
20150119,0,16,9,0.51
20150120,0,16,7,T
20150121,0,19,6,T
20150122,0,19,11,0
20150123,0,16,8,0
20150124,0,16,5,0
20150125,0,16,9,0
20150126,0,16,7,0
20150127,0,19,8,0
20150128,0,19,6,0
20150129,0,16,9,0
20150130,0,11,4,T
20150131,0,21,6,3.56
20150201,0,24,9,T
20150202,0,21,7,0.25
20150203,0,16,7,T
20150204,0,16,7,0.25
20150205,0,19,9,0
20150206,0,23,8,0
20150207,0,21,9,0
20150208,0,19,9,0
20150209,0,19,9,0
20150210,0,24,11,0.25
20150211,0,19,9,T
20150212,0,23,10,0
20150213,0,19,9,0
20150214,0,16,9,0
20150215,0,39,10,T
20150216,0,26,6,0.51
20150217,0,27,11,0
20150218,0,24,11,0
20150219,0,19,9,0
20150220,0,52,9,0.51
20150221,0,21,6,4.32
20150222,0,14,5,8.13
20150223,0,19,6,2.03
20150224,0,16,7,0
20150225,0,37,8,0.25
20150226,0,23,6,T
20150227,0,19,9,1.52
20150228,0,16,6,1.78
20150301,0,14,4,2.54
20150302,0,40,12,7.37
20150303,0,24,8,1.78
20150304,0,34,13,0.25
20150305,6,21,12,0
20150306,0,19,9,0
20150307,0,19,10,0
20150308,6,21,12,0
20150309,0,23,11,0
20150310,6,19,12,0
20150311,0,19,9,0
20150312,0,19,8,T
20150313,0,23,8,T
20150314,6,21,11,0
20150315,0,19,10,0
20150316,0,26,12,0
20150317,0,23,8,0
20150318,0,26,6,11.94
20150319,0,24,5,1.52
20150320,0,19,10,0
20150321,0,24,11,0
20150322,0,21,9,0
20150323,0,48,11,2.54
20150324,0,27,8,2.03
20150325,0,35,8,4.57
20150326,0,24,10,0
20150327,0,32,12,0
20150328,0,34,13,T
20150329,0,23,11,0
20150330,0,34,14,0
20150331,6,27,13,0
20150401,0,39,12,1.27
20150402,0,45,13,0.76
20150403,0,21,8,T
20150404,0,29,10,0
20150405,0,35,12,0
20150406,0,39,12,0
20150407,6,42,13,0
20150408,0,48,14,1.27
20150409,0,19,6,0.25
20150410,0,34,11,0
20150411,0,34,11,0
20150412,8,39,19,0
20150413,0,23,11,0
20150414,0,47,12,T
20150415,0,39,18,T
20150416,0,32,7,4.83
20150417,0,23,7,16.76
20150418,0,16,5,4.83
20150419,0,23,6,T
20150420,0,32,9,0.76
20150421,0,48,11,0.25
20150422,0,37,12,T
20150423,0,39,9,0
20150424,0,40,9,T
20150425,0,27,8,2.03
20150426,0,23,7,T
20150427,0,24,6,0.51
20150428,0,26,11,0
20150429,0,29,13,0
20150430,0,32,11,T
20150501,0,37,13,0.25
20150502,0,35,14,0.51
20150503,0,45,10,1.78
20150504,0,40,8,1.02
20150505,0,32,6,15.24
20150506,0,24,5,7.87
20150507,0,50,14,0
20150508,0,52,12,1.78
20150509,0,26,8,10.41
20150510,0,24,10,3.05
20150511,0,21,8,0
20150512,0,42,15,0
20150513,0,35,9,T
20150514,0,56,14,T
20150515,0,39,9,4.57
20150516,0,37,8,1.78
20150517,0,35,9,4.57
20150518,0,47,13,T
20150519,0,32,8,9.14
20150520,0,27,8,0
20150521,0,45,9,1.52
20150522,0,64,12,4.83
20150523,0,48,12,2.54
20150524,0,32,8,7.87
20150525,0,32,6,7.62
20150526,0,19,8,0.51
20150527,0,39,12,T
20150528,0,37,10,2.03
20150529,0,29,9,0.25
20150530,0,26,11,0
20150531,0,29,12,1.78
20150601,0,53,15,0
